metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse
teacher_forced_one_step,1,0.0013779456494376063,0.0009752287,0.0025604144,1.262352e-05,0.00029662118
rollout,1,0.006035468075424433,0.0022531706,0.011855571,1.2581301e-05,0.00027568225
rollout,2,0.006708080414682627,0.0029000165,0.013089166,2.5172998e-05,0.0005063387
rollout,3,0.007724498864263296,0.0037628433,0.014966639,3.784867e-05,0.00071471155
rollout,4,0.009042209014296532,0.004763485,0.01742127,5.060572e-05,0.0009231502
rollout,5,0.010630663484334946,0.00586813,0.020404093,6.343919e-05,0.0011305279
rollout,6,0.012464195489883423,0.007064112,0.023869006,7.637135e-05,0.0013370567
rollout,7,0.014530817046761513,0.008347421,0.02779439,8.940608e-05,0.0015372337
rollout,8,0.016820501536130905,0.009719044,0.032159444,0.000102550104,0.0017369222
rollout,9,0.019333304837346077,0.011181686,0.036963932,0.00011579573,0.0019315932
rollout,10,0.022072123363614082,0.012739868,0.04221249,0.00012914612,0.002121167
rollout,11,0.025044012814760208,0.014399758,0.047917914,0.00014255405,0.002304586
rollout,12,0.028264354914426804,0.016167918,0.054109983,0.0001560675,0.002485771
rollout,13,0.03174348548054695,0.01805208,0.060807683,0.00016966173,0.0026672855
rollout,14,0.03549117222428322,0.020060083,0.06802919,0.00018337031,0.00284285
rollout,15,0.03952372446656227,0.022200672,0.07580569,0.00019718634,0.0030147126
rollout,16,0.04385630041360855,0.024483865,0.084165834,0.00021111028,0.0031793308
rollout,17,0.048512913286685944,0.026919415,0.093156494,0.00022515266,0.0033425102
rollout,18,0.05350448936223984,0.029518498,0.10279724,0.00023931205,0.0035000592
rollout,19,0.058859311044216156,0.032292888,0.11314329,0.0002535336,0.0036570644
rollout,20,0.06459186971187592,0.035254005,0.1242216,0.00026790396,0.0038097228
rollout,21,0.07073488086462021,0.03841541,0.1360963,0.0002823862,0.003958155
rollout,22,0.07730552554130554,0.041791182,0.14879902,0.00029698617,0.0041036443
rollout,23,0.08432472497224808,0.045396496,0.1623692,0.00031172362,0.0042350823
rollout,24,0.09182386100292206,0.049246293,0.17686766,0.00032660153,0.004360077
rollout,25,0.09983112663030624,0.053357713,0.19234815,0.00034161733,0.0044768257
rollout,26,0.10837340354919434,0.057748113,0.2088617,0.00035678933,0.0045831357
rollout,27,0.11748403310775757,0.062435795,0.2264724,0.00037210368,0.0046776957
rollout,28,0.1271938979625702,0.067440405,0.2452388,0.00038752527,0.004766772
rollout,29,0.1375250518321991,0.072783165,0.26520082,0.00040309067,0.0048517846
rollout,30,0.14850759506225586,0.07848526,0.28641513,0.00041880133,0.004930238
rollout,31,0.16017508506774902,0.08456873,0.3089453,0.00043466332,0.0049997508
rollout,32,0.1725575029850006,0.0910571,0.3328471,0.00045067386,0.0050590336
rollout,33,0.185675710439682,0.09797553,0.35815686,0.00046682605,0.005108511
rollout,34,0.1995525360107422,0.10534901,0.38491517,0.00048313456,0.005147412
rollout,35,0.21421512961387634,0.113202915,0.4131713,0.00049961515,0.005179001
rollout,36,0.2296796590089798,0.12156414,0.44295117,0.00051622617,0.005207909
rollout,37,0.24597011506557465,0.13045843,0.47429746,0.0005329298,0.0052347365
rollout,38,0.26309219002723694,0.13991402,0.50721395,0.00054976885,0.005263054
rollout,39,0.28105345368385315,0.14995925,0.54170847,0.000566705,0.005293887
rollout,40,0.29986071586608887,0.16062053,0.5777873,0.0005837444,0.0053303083
rollout,41,0.31951460242271423,0.1719251,0.6154436,0.0006008725,0.0053711776
rollout,42,0.34001681208610535,0.18390131,0.6546725,0.00061807496,0.005433681
rollout,43,0.3613598942756653,0.19657576,0.6954503,0.0006353085,0.005514753
rollout,44,0.38353297114372253,0.20997769,0.7377449,0.00065253954,0.0056113773
rollout,45,0.40653225779533386,0.2241336,0.7815399,0.00066969794,0.0057326527
rollout,46,0.4303567111492157,0.23907073,0.82682395,0.00068677583,0.005870587
rollout,47,0.45499637722969055,0.2548182,0.8735661,0.000703777,0.006021517
rollout,48,0.48045414686203003,0.27140623,0.9217617,0.0007206734,0.006188005
rollout,49,0.5067412257194519,0.28886488,0.9714231,0.0007374607,0.006363349
rollout,50,0.5338766574859619,0.30722854,1.0225773,0.00075409416,0.0065542054
