metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse,dim4_rmse,dim5_rmse,dim6_rmse,dim7_rmse,dim8_rmse,dim9_rmse,dim10_rmse,dim11_rmse,dim12_rmse,dim13_rmse,dim14_rmse,dim15_rmse,dim16_rmse,dim17_rmse
teacher_forced_one_step,1,0.11069393903017044,0.008445729,0.008393755,0.008264987,0.007922003,0.0084077725,0.008696774,0.008006329,0.0058078626,0.00573941,0.111949,0.08140346,0.1131302,0.1756082,0.23629278,0.28954473,0.13208383,0.0068758833,0.0068610893
rollout,1,0.11069393903017044,0.008445729,0.008393755,0.008264987,0.007922002,0.0084077725,0.008696774,0.008006329,0.0058078626,0.00573941,0.11194899,0.08140345,0.1131302,0.17560819,0.23629278,0.28954473,0.13208383,0.0068758833,0.0068610893
rollout,2,0.11632504314184189,0.008833724,0.008582662,0.008775237,0.008576919,0.008647231,0.009258371,0.008061085,0.005795243,0.0057901423,0.11680621,0.0972156,0.118379466,0.19166404,0.23160799,0.31406486,0.12943755,0.0069228536,0.006933406
rollout,3,0.11410626769065857,0.0090477755,0.009128897,0.00915952,0.00992135,0.008778505,0.009606535,0.008119483,0.0057871034,0.005808393,0.11911896,0.101300076,0.123769,0.18855731,0.21936435,0.30565774,0.12942015,0.006865177,0.006822261
rollout,4,0.12011978030204773,0.00951846,0.010153144,0.009595936,0.011339086,0.008978739,0.009848223,0.0080339145,0.0057846345,0.005788388,0.11765,0.10462265,0.120271884,0.19635668,0.22765042,0.33518186,0.13007599,0.006901387,0.006823144
rollout,5,0.10981283336877823,0.009791415,0.01118345,0.010135382,0.012755752,0.009022765,0.010105711,0.008079693,0.005789506,0.0058117597,0.120232694,0.10947622,0.12170658,0.19744161,0.21953292,0.26569414,0.13092355,0.0067484034,0.0067641716
rollout,6,0.11902185529470444,0.010195238,0.012206925,0.010513581,0.013706357,0.009100309,0.010058901,0.007952332,0.005861542,0.0057771886,0.11866131,0.11079726,0.11922585,0.19815421,0.23621269,0.3175896,0.13242926,0.0068544215,0.0066916794
rollout,7,0.11853347718715668,0.0105377855,0.0132955,0.010492514,0.014148208,0.009002829,0.010186653,0.008037694,0.0058421637,0.0057898914,0.12221478,0.11239473,0.122436054,0.20427676,0.226863,0.3140898,0.13224736,0.00681047,0.0066762497
rollout,8,0.11993933469057083,0.01084224,0.014168088,0.010815257,0.014269797,0.0092020435,0.010466864,0.008015302,0.0058704326,0.0058217887,0.12015882,0.11434462,0.12013708,0.20651565,0.23363985,0.31881073,0.1306015,0.0068135555,0.0068372623
rollout,9,0.11490992456674576,0.010879327,0.014689734,0.010883669,0.0143338265,0.0091096,0.010412498,0.008102342,0.005808401,0.0057677,0.122846045,0.11047089,0.119458176,0.20183118,0.22459154,0.2957788,0.12795898,0.006854282,0.0068657156
rollout,10,0.1249050721526146,0.011184701,0.01524233,0.011036799,0.0142979575,0.009141851,0.010524097,0.007971417,0.005803858,0.0058423793,0.12182765,0.11511306,0.1225518,0.21664937,0.25712863,0.32671696,0.12966943,0.0067810523,0.006743262
rollout,11,0.12536394596099854,0.011058806,0.0155325495,0.010941724,0.014198439,0.009246207,0.010371998,0.007976676,0.0057589244,0.0057966863,0.12753806,0.115610324,0.12644885,0.22461262,0.23479578,0.3370078,0.13044144,0.0067405663,0.006800367
rollout,12,0.1159534603357315,0.011082169,0.015779926,0.010834886,0.014233368,0.009218182,0.010192582,0.007999423,0.0058320467,0.0057563446,0.12786871,0.11994576,0.12375721,0.22262727,0.23050265,0.2741569,0.1303847,0.0067718877,0.0067994893
rollout,13,0.12191198021173477,0.011050176,0.01562811,0.011069806,0.014274192,0.009420645,0.01029541,0.008052943,0.00581376,0.0057911994,0.13048646,0.11941726,0.12597898,0.21235812,0.24320604,0.3119531,0.13303249,0.0067877555,0.0066699972
rollout,14,0.10941693931818008,0.011046091,0.015626539,0.01108779,0.014624288,0.009237161,0.010246496,0.008045535,0.0057872566,0.005786844,0.12670659,0.120724574,0.1235743,0.2078764,0.21390346,0.25153574,0.12745607,0.006699808,0.0067169205
rollout,15,0.12463109195232391,0.011108416,0.015468423,0.0109920185,0.014559244,0.009204841,0.010317414,0.007962365,0.0057910075,0.0058062794,0.12611325,0.12657335,0.12661113,0.21749374,0.23324537,0.33378243,0.1319408,0.0068616113,0.006800834
rollout,16,0.12374377995729446,0.011140841,0.015206153,0.011097193,0.0144754695,0.009197629,0.010230202,0.007991432,0.0057899943,0.0058619473,0.12837555,0.12480509,0.12059147,0.21484962,0.22192048,0.33978134,0.13063118,0.0067917337,0.0068144216
rollout,17,0.12115737050771713,0.011195852,0.0149520775,0.011120094,0.014371702,0.009308058,0.010183397,0.008063783,0.0058283336,0.005819125,0.12593855,0.12481725,0.12495071,0.21239819,0.22476022,0.32150483,0.13070025,0.0068196524,0.006669865
rollout,18,0.11270157247781754,0.011097219,0.0146186175,0.011222815,0.01431359,0.009297424,0.01021013,0.0079272585,0.005728989,0.0058001517,0.12460328,0.12369153,0.12444716,0.20906702,0.21083862,0.27428293,0.13358815,0.006753151,0.006690448
rollout,19,0.11307404190301895,0.011204822,0.014538399,0.011161438,0.014166497,0.009283484,0.010153892,0.008049242,0.0058293026,0.0058306484,0.12298887,0.1254412,0.1229878,0.2168416,0.22372523,0.26123846,0.13327202,0.006729409,0.006766686
rollout,20,0.1264791190624237,0.011288513,0.0145546505,0.010964885,0.014136006,0.009276439,0.010156253,0.008063226,0.0058035175,0.005755355,0.12549,0.12508117,0.12499092,0.21347472,0.2470158,0.34086305,0.1307065,0.0067069014,0.0066493577
