metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse,dim4_rmse,dim5_rmse,dim6_rmse,dim7_rmse,dim8_rmse,dim9_rmse,dim10_rmse,dim11_rmse,dim12_rmse,dim13_rmse,dim14_rmse,dim15_rmse,dim16_rmse,dim17_rmse
teacher_forced_one_step,1,0.20902827382087708,0.011828232556581497,0.012932409532368183,0.01153062004595995,0.012141752056777477,0.011775518767535686,0.012235783971846104,0.011398733593523502,0.007533946540206671,0.008327224291861057,0.28887858986854553,0.17957401275634766,0.28759267926216125,0.2955646812915802,0.39575624465942383,0.5059776902198792,0.2945605218410492,0.00924656167626381,0.009239072911441326
rollout,1,0.2082194685935974,0.01182583998888731,0.0128939775750041,0.011605010367929935,0.012211724184453487,0.011641420423984528,0.012249208986759186,0.011575635522603989,0.007469766307622194,0.008328539319336414,0.2846074104309082,0.17881257832050323,0.2775021493434906,0.2945071756839752,0.4042600393295288,0.5029194951057434,0.29329240322113037,0.009182322770357132,0.009248683229088783
rollout,2,0.22270944714546204,0.016202004626393318,0.02022484503686428,0.01575874537229538,0.017925841733813286,0.015018155798316002,0.016055889427661896,0.01432682666927576,0.007345497142523527,0.008321654982864857,0.31671133637428284,0.24205976724624634,0.3171977996826172,0.3467545509338379,0.3912825882434845,0.504476010799408,0.32124605774879456,0.009694516658782959,0.009722672402858734
rollout,3,0.23738831281661987,0.020076965913176537,0.02786070667207241,0.01944853737950325,0.022875171154737473,0.018928056582808495,0.019225014373660088,0.016957251355051994,0.007449364755302668,0.00817075278609991,0.34307152032852173,0.29137519001960754,0.3474874496459961,0.39659884572029114,0.3954530954360962,0.4957290291786194,0.35800981521606445,0.00998232513666153,0.01012448314577341
rollout,4,0.2569562494754791,0.02372477948665619,0.03457188978791237,0.02268727868795395,0.02716546319425106,0.022329412400722504,0.02270769141614437,0.01886187493801117,0.0075974781066179276,0.008180168457329273,0.36709052324295044,0.3333730101585388,0.38135239481925964,0.4204271733760834,0.42408210039138794,0.5184409618377686,0.40872108936309814,0.010356076061725616,0.010171004571020603
rollout,5,0.2716613709926605,0.02622379921376705,0.04020554572343826,0.025460135191679,0.030369043350219727,0.026006154716014862,0.02517739310860634,0.020601393654942513,0.007668773178011179,0.00823292788118124,0.4065529406070709,0.36910825967788696,0.4292009770870209,0.4322129189968109,0.43256905674934387,0.49784860014915466,0.46359923481941223,0.010496599599719048,0.010532531887292862
rollout,6,0.2899843454360962,0.02877897210419178,0.045146096497774124,0.028074437752366066,0.03267757222056389,0.029255501925945282,0.02754906564950943,0.022080570459365845,0.00792377907782793,0.008223474957048893,0.43457427620887756,0.39500024914741516,0.4722174406051636,0.4427834153175354,0.44831985235214233,0.5269216895103455,0.5137040019035339,0.010573497973382473,0.010671182535588741
rollout,7,0.3095625042915344,0.03050985001027584,0.04895844683051109,0.030156126245856285,0.03419310972094536,0.032783325761556625,0.029705844819545746,0.023569542914628983,0.008208259008824825,0.008538980036973953,0.4702984690666199,0.41936641931533813,0.5266069173812866,0.4457641839981079,0.47044482827186584,0.5305841565132141,0.5837123990058899,0.010724803432822227,0.01090137381106615
rollout,8,0.328983873128891,0.03214934095740318,0.05232914164662361,0.03218996524810791,0.03507207706570625,0.03660522773861885,0.031536832451820374,0.024425795301795006,0.008498587645590305,0.008760739117860794,0.5065199732780457,0.4402361810207367,0.587618887424469,0.44741499423980713,0.48529210686683655,0.5501357913017273,0.6362262964248657,0.010864099487662315,0.01106155477464199
rollout,9,0.3469632565975189,0.03332243114709854,0.05471314862370491,0.033856675028800964,0.035308483988046646,0.04022270068526268,0.03311867266893387,0.02548133209347725,0.008603234775364399,0.00893800426274538,0.534378170967102,0.45415669679641724,0.6447420120239258,0.44613030552864075,0.5002138018608093,0.5565769076347351,0.7000797390937805,0.010873380117118359,0.011117205023765564
