metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse,dim4_rmse,dim5_rmse,dim6_rmse,dim7_rmse,dim8_rmse,dim9_rmse,dim10_rmse,dim11_rmse,dim12_rmse,dim13_rmse,dim14_rmse,dim15_rmse,dim16_rmse,dim17_rmse
teacher_forced_one_step,1,0.2064974159002304,0.011654733680188656,0.012951399199664593,0.011497077532112598,0.01233926136046648,0.011632440611720085,0.011994614265859127,0.011502912268042564,0.007328683976083994,0.007297190837562084,0.2862238883972168,0.1800243854522705,0.2826255261898041,0.2862260341644287,0.40129125118255615,0.4987045228481293,0.28352808952331543,0.009202277287840843,0.009257175028324127
rollout,1,0.20887936651706696,0.011666716076433659,0.012933187186717987,0.01154283620417118,0.012298250570893288,0.011683893389999866,0.012177828699350357,0.011414001695811749,0.007416320499032736,0.007297045551240444,0.2884558439254761,0.17908325791358948,0.28303176164627075,0.2989042103290558,0.4058527648448944,0.5024613738059998,0.2866241931915283,0.009336761198937893,0.009305289015173912
rollout,2,0.21976320445537567,0.016170034185051918,0.020614981651306152,0.015553249977529049,0.018346041440963745,0.015074146911501884,0.01600435934960842,0.01410479936748743,0.007455955259501934,0.007703617215156555,0.31648361682891846,0.2425864040851593,0.3100452423095703,0.3463635742664337,0.3903912901878357,0.49727392196655273,0.30377376079559326,0.009883686900138855,0.00973165687173605
rollout,3,0.2325032651424408,0.019700592383742332,0.02808212675154209,0.019339043647050858,0.023173095658421516,0.018342575058341026,0.01921818032860756,0.016502773389220238,0.007814278826117516,0.007795760408043861,0.33630532026290894,0.29423826932907104,0.3421578109264374,0.38758134841918945,0.39135217666625977,0.49042919278144836,0.33015167713165283,0.01020389050245285,0.010093041695654392
rollout,4,0.25000083446502686,0.023145271465182304,0.03491710498929024,0.022602427750825882,0.027654342353343964,0.02134242095053196,0.022651541978120804,0.018754150718450546,0.00789303332567215,0.008026819676160812,0.35326722264289856,0.33272048830986023,0.36893579363822937,0.4151635766029358,0.4062390625476837,0.5273641347885132,0.3649590015411377,0.010631667450070381,0.010184411890804768
rollout,5,0.2605418264865875,0.025805355980992317,0.04067769646644592,0.02511005289852619,0.030762294307351112,0.024421246722340584,0.025688406080007553,0.020473219454288483,0.008190246298909187,0.008320976980030537,0.3737414479255676,0.36020755767822266,0.40149253606796265,0.4347284734249115,0.41576629877090454,0.5051576495170593,0.4102160334587097,0.010798713192343712,0.010502135381102562
rollout,6,0.2750902771949768,0.02808327227830887,0.045599572360515594,0.027423681691288948,0.03316577896475792,0.02722955122590065,0.02865714021027088,0.021974528208374977,0.008333433419466019,0.00859165471047163,0.39307260513305664,0.380687952041626,0.4302092492580414,0.44081971049308777,0.42366310954093933,0.544002115726471,0.44804316759109497,0.010917275212705135,0.010637778788805008
rollout,7,0.2881949245929718,0.029895678162574768,0.04942905902862549,0.029461948201060295,0.035026915371418,0.030133068561553955,0.031548820436000824,0.023480428382754326,0.008458158932626247,0.008712965995073318,0.41661977767944336,0.40198618173599243,0.461167573928833,0.44430238008499146,0.43474143743515015,0.5486477613449097,0.5014811754226685,0.011010308749973774,0.010740126483142376
rollout,8,0.300470232963562,0.031369056552648544,0.05269346013665199,0.031208524480462074,0.036282218992710114,0.033162638545036316,0.03411298245191574,0.024419259279966354,0.008717382326722145,0.009010004810988903,0.435773640871048,0.4169941246509552,0.502678394317627,0.43968263268470764,0.437398225069046,0.5715681910514832,0.5366344451904297,0.011104569770395756,0.010861595161259174
rollout,9,0.3131171464920044,0.032683297991752625,0.05518394708633423,0.03269383683800697,0.03705431893467903,0.036065723747015,0.03649501875042915,0.02550753578543663,0.008853291161358356,0.009268787689507008,0.45379629731178284,0.42747101187705994,0.5374546051025391,0.4379565715789795,0.44651487469673157,0.5837489366531372,0.5874122977256775,0.011114398948848248,0.010893355123698711
