metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse,dim4_rmse,dim5_rmse,dim6_rmse,dim7_rmse,dim8_rmse,dim9_rmse,dim10_rmse,dim11_rmse,dim12_rmse,dim13_rmse,dim14_rmse,dim15_rmse,dim16_rmse,dim17_rmse
teacher_forced_one_step,1,0.22782182693481445,0.01457477081567049,0.01526312343776226,0.013296972028911114,0.01194050069898367,0.012785208411514759,0.01327987015247345,0.012519408017396927,0.007503724191337824,0.0071093253791332245,0.3582735061645508,0.19021816551685333,0.3255201578140259,0.27269044518470764,0.44837185740470886,0.5227598547935486,0.33692967891693115,0.009454220533370972,0.009459693916141987
rollout,1,0.2284407913684845,0.014282961376011372,0.015137691050767899,0.013328364118933678,0.01202800590544939,0.012793373316526413,0.01306246593594551,0.012695581652224064,0.007359243463724852,0.007219269406050444,0.3629753887653351,0.1898975372314453,0.3353869616985321,0.25781285762786865,0.4512234628200531,0.5186266899108887,0.3441769778728485,0.009399986825883389,0.009472424164414406
rollout,2,1.482558012008667,0.06675302982330322,0.03436439484357834,0.06549066305160522,0.02897215262055397,0.10049764066934586,0.09856639057397842,0.10542070120573044,0.00725078908726573,0.007274566683918238,2.2405459880828857,1.2126622200012207,2.2967095375061035,1.1530005931854248,3.01031756401062,2.8969266414642334,2.9953908920288086,0.013709679245948792,0.013340151868760586
rollout,3,1.464871883392334,0.12195352464914322,0.07416535913944244,0.12214546650648117,0.06274174898862839,0.16431188583374023,0.16271048784255981,0.17205655574798584,0.007520203944295645,0.007310494780540466,2.2817490100860596,1.6380881071090698,2.354119300842285,1.4251896142959595,2.7923038005828857,2.684514284133911,2.8348166942596436,0.013528399169445038,0.013333374634385109
rollout,4,1.4382703304290771,0.17140181362628937,0.12368694692850113,0.1729060411453247,0.0991647019982338,0.21626615524291992,0.21348334848880768,0.22297096252441406,0.008234858512878418,0.00786618608981371,2.2463104724884033,1.9077153205871582,2.326201915740967,1.5445951223373413,2.6710081100463867,2.5240063667297363,2.649724006652832,0.014094216749072075,0.01342869084328413
rollout,5,1.3982335329055786,0.2141585797071457,0.17722435295581818,0.21841561794281006,0.1335994005203247,0.2515474855899811,0.251344233751297,0.2612936496734619,0.00893315114080906,0.008337724953889847,2.1875667572021484,2.022843837738037,2.2566044330596924,1.549214243888855,2.4894821643829346,2.4252076148986816,2.530632972717285,0.014381926506757736,0.013650370761752129
rollout,6,1.3700135946273804,0.2504757344722748,0.23078972101211548,0.25592041015625,0.16380688548088074,0.27941861748695374,0.27807995676994324,0.28796347975730896,0.010156763717532158,0.00900892075151205,2.1494810581207275,2.0532307624816895,2.189962148666382,1.4988374710083008,2.442943572998047,2.3360466957092285,2.456432580947876,0.014532787725329399,0.014008520171046257
rollout,7,1.3558014631271362,0.2811528742313385,0.28162965178489685,0.2882700562477112,0.187197744846344,0.2954595983028412,0.29719647765159607,0.30436062812805176,0.010988270863890648,0.009861722588539124,2.0861570835113525,2.0531795024871826,2.170243501663208,1.4343467950820923,2.4003758430480957,2.3367297649383545,2.4464495182037354,0.01536206342279911,0.01440866943448782
rollout,8,1.353560209274292,0.30519694089889526,0.32817867398262024,0.3133487403392792,0.20346957445144653,0.30538952350616455,0.30763664841651917,0.3168679475784302,0.012275000102818012,0.010648827068507671,2.023380994796753,2.0512232780456543,2.1465888023376465,1.3791420459747314,2.411902904510498,2.3521246910095215,2.4874753952026367,0.016090277582406998,0.014956745319068432
rollout,9,1.3621420860290527,0.3238222599029541,0.3700953722000122,0.33038198947906494,0.21220511198043823,0.3120695650577545,0.3144814074039459,0.32264912128448486,0.013154041022062302,0.01180938258767128,2.013232946395874,2.026857614517212,2.051342725753784,1.321600079536438,2.503645420074463,2.420595169067383,2.5410823822021484,0.016871174797415733,0.015569969080388546
rollout,10,1.3766663074493408,0.3381120562553406,0.4059077501296997,0.3426745533943176,0.21457435190677643,0.3157903254032135,0.3175385892391205,0.32534533739089966,0.014195089228451252,0.013017971068620682,1.9870344400405884,2.018693208694458,2.091165065765381,1.318690299987793,2.5275371074676514,2.4473562240600586,2.6173486709594727,0.01822177693247795,0.016441036015748978
rollout,11,1.3973175287246704,0.3445058763027191,0.4355199933052063,0.35042956471443176,0.2100752294063568,0.3165818750858307,0.31758561730384827,0.3261195719242096,0.015211238525807858,0.014194218441843987,1.9869614839553833,1.997776985168457,2.0996687412261963,1.353947639465332,2.5884311199188232,2.5123510360717773,2.6773712635040283,0.019183803349733353,0.01696888357400894
rollout,12,1.4313805103302002,0.3459065854549408,0.45888349413871765,0.3504118025302887,0.20044012367725372,0.3143973648548126,0.3175886869430542,0.3242749869823456,0.015983495861291885,0.015265299938619137,2.0488147735595703,1.9714528322219849,2.122678518295288,1.4057621955871582,2.6545238494873047,2.6164233684539795,2.7607319355010986,0.020492397248744965,0.01831882819533348
rollout,13,1.4865285158157349,0.34404313564300537,0.47685056924819946,0.3468543291091919,0.18862798810005188,0.3139149844646454,0.31601855158805847,0.32338616251945496,0.017049729824066162,0.01655629090964794,2.1587002277374268,1.9682387113571167,2.1992735862731934,1.4804811477661133,2.7719640731811523,2.7094342708587646,2.895236015319824,0.021679937839508057,0.01887260004878044
rollout,14,1.5454691648483276,0.3377453684806824,0.48920056223869324,0.3418581783771515,0.1761903166770935,0.3137054443359375,0.31532323360443115,0.32447350025177,0.01797179877758026,0.01767059788107872,2.2194666862487793,1.976308822631836,2.27646803855896,1.5186216831207275,2.8789422512054443,2.852696418762207,3.0724658966064453,0.02288837544620037,0.01964031346142292
rollout,15,1.5852338075637817,0.32959577441215515,0.4991503655910492,0.33670559525489807,0.16661317646503448,0.3107569217681885,0.313136488199234,0.32351112365722656,0.018916485831141472,0.018892278894782066,2.320406436920166,1.9484574794769287,2.3170814514160156,1.5505993366241455,2.9986164569854736,2.925140142440796,3.151397228240967,0.02456689439713955,0.020744118839502335
rollout,16,1.6404311656951904,0.3306424915790558,0.5235902070999146,0.33781132102012634,0.16606150567531586,0.3085702955722809,0.31245678663253784,0.32335206866264343,0.01971062272787094,0.019825009629130363,2.4047398567199707,1.9926016330718994,2.401038408279419,1.6454962491989136,3.0923666954040527,3.0518722534179688,3.2420992851257324,0.026315325871109962,0.02179982140660286
rollout,17,1.7002582550048828,0.3318963050842285,0.5476998090744019,0.33882227540016174,0.16877208650112152,0.3064746558666229,0.309226393699646,0.3216976225376129,0.021088846027851105,0.021226923912763596,2.5079832077026367,2.055375099182129,2.487122058868408,1.7462756633758545,3.1986889839172363,3.1929516792297363,3.3182544708251953,0.02763974666595459,0.02293350175023079
