metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse
teacher_forced_one_step,1,0.019126523286104202,0.007320160511881113,0.03634944185614586,3.9526221371488646e-05,0.009403581731021404
rollout,1,0.019700203090906143,0.007598891854286194,0.037606947124004364,3.926829231204465e-05,0.008964632637798786
rollout,2,0.03945055231451988,0.01578473672270775,0.07624943554401398,6.745474092895165e-05,0.012737566605210304
rollout,3,0.05974145606160164,0.024819860234856606,0.11578255891799927,9.69949978752993e-05,0.015953946858644485
rollout,4,0.08086198568344116,0.034651979804039,0.15683665871620178,0.00012809511099476367,0.01887139119207859
rollout,5,0.10290636867284775,0.04521104320883751,0.1996132880449295,0.0001591985346749425,0.021664530038833618
rollout,6,0.12585759162902832,0.05669400095939636,0.24403256177902222,0.00019102240912616253,0.024380085989832878
rollout,7,0.14973686635494232,0.06891980767250061,0.2901588976383209,0.00022288071340881288,0.027245866134762764
rollout,8,0.17460457980632782,0.08191457390785217,0.3381810188293457,0.00025633329642005265,0.029505345970392227
rollout,9,0.20069654285907745,0.0956830084323883,0.3885093927383423,0.00029030247242189944,0.031961340457201004
rollout,10,0.2277602255344391,0.11026541888713837,0.44061875343322754,0.00032527034636586905,0.03457462042570114
rollout,11,0.25546759366989136,0.1255442202091217,0.4938729703426361,0.00036136319977231324,0.03718525171279907
rollout,12,0.28403303027153015,0.14145688712596893,0.5487204790115356,0.0003983666538260877,0.03993428125977516
rollout,13,0.3135361075401306,0.1579446941614151,0.6053652167320251,0.0004360925522632897,0.04249528422951698
rollout,14,0.34381985664367676,0.17509570717811584,0.6634621620178223,0.0004748529754579067,0.0448061041533947
rollout,15,0.3748133182525635,0.19286908209323883,0.722842276096344,0.0005137932021170855,0.04733210802078247
rollout,16,0.40619611740112305,0.2110980600118637,0.7829042673110962,0.0005526765598915517,0.04979223757982254
rollout,17,0.43815818428993225,0.22972150146961212,0.8440298438072205,0.0005928417085669935,0.052646227180957794
rollout,18,0.47091129422187805,0.24884843826293945,0.9066758751869202,0.0006326705333776772,0.05515948683023453
rollout,19,0.5041499733924866,0.268472284078598,0.970171332359314,0.0006716569769196212,0.05795202776789665
rollout,20,0.5381138920783997,0.28858309984207153,1.0350230932235718,0.0007109299767762423,0.06093224883079529
rollout,21,0.5731340050697327,0.30913692712783813,1.1019386053085327,0.0007508413400501013,0.06399472057819366
rollout,22,0.6088416576385498,0.330135703086853,1.1701496839523315,0.0007918903138488531,0.06717098504304886
rollout,23,0.645539402961731,0.3517318665981293,1.240233063697815,0.0008337365579791367,0.07064369320869446
rollout,24,0.6829999685287476,0.37383103370666504,1.3117440938949585,0.0008753106230869889,0.0743849128484726
rollout,25,0.7214941382408142,0.3964390158653259,1.3852976560592651,0.0009174406877718866,0.07746458798646927
rollout,26,0.7607538104057312,0.41950392723083496,1.460315227508545,0.0009600283810868859,0.08049973845481873
rollout,27,0.8008548617362976,0.44296765327453613,1.5369676351547241,0.0010036480380222201,0.08356421440839767
rollout,28,0.8420975208282471,0.4671350419521332,1.6157807111740112,0.001045643468387425,0.08688738197088242
rollout,29,0.884353756904602,0.49178004264831543,1.696578025817871,0.0010888604447245598,0.09000323712825775
rollout,30,0.9277478456497192,0.5170493721961975,1.779537558555603,0.001130516640841961,0.0936417281627655
rollout,31,0.972048819065094,0.5427888631820679,1.8642734289169312,0.001174036180600524,0.0968434289097786
rollout,32,1.0175336599349976,0.5690698623657227,1.9513150453567505,0.0012157656019553542,0.10013081878423691
rollout,33,1.0641523599624634,0.5959808826446533,2.040518283843994,0.0012577071320265532,0.10378950089216232
rollout,34,1.1121981143951416,0.6235830187797546,2.132486343383789,0.0013012902345508337,0.10762203484773636
rollout,35,1.1617399454116821,0.6518718600273132,2.2274038791656494,0.0013434021966531873,0.11086925864219666
rollout,36,1.21270751953125,0.6808027029037476,2.3251047134399414,0.0013863955391570926,0.11415587365627289
rollout,37,1.2652167081832886,0.710521936416626,2.4257850646972656,0.001428417395800352,0.11754561960697174
rollout,38,1.31968355178833,0.7412019371986389,2.5302646160125732,0.0014704829081892967,0.12097974866628647
rollout,39,1.3761284351348877,0.772982120513916,2.638532876968384,0.0015133584383875132,0.12473854422569275
rollout,40,1.4348371028900146,0.8057587742805481,2.751235246658325,0.0015550171956419945,0.12839524447917938
rollout,41,1.4956315755844116,0.8395984172821045,2.867983102798462,0.001597028225660324,0.13190755248069763
rollout,42,1.558674931526184,0.8747519254684448,2.989032030105591,0.0016393124824389815,0.1355089396238327
rollout,43,1.6242491006851196,0.9111899137496948,3.1149861812591553,0.0016822309698909521,0.13903361558914185
rollout,44,1.6923941373825073,0.9490862488746643,3.245884656906128,0.0017247948562726378,0.1423252522945404
rollout,45,1.7629956007003784,0.9883893728256226,3.3814780712127686,0.0017674750415608287,0.1459553837776184
rollout,46,1.8361878395080566,1.0293241739273071,3.52197527885437,0.001809671288356185,0.1500747948884964
rollout,47,1.9122666120529175,1.071977972984314,3.667990207672119,0.0018526642816141248,0.15414844453334808
rollout,48,1.9908331632614136,1.1162761449813843,3.8187432289123535,0.0018932073144242167,0.15745382010936737
rollout,49,2.072354793548584,1.1626746654510498,3.9750189781188965,0.0019347906345501542,0.16132698953151703
rollout,50,2.156841516494751,1.2111338376998901,4.136885643005371,0.001976329367607832,0.16490530967712402
